country,country_name,wbregion,who
SSD,South Sudan,SSA,EMR-D
STP,São Tomé and Principe,SSA,AFR-D
SUR,Suriname,LAC,AMR-B
SVK,Slovak Republic,YHI,
SVN,Slovenia,YHI,
SWE,Sweden,YHI,
SWZ,Swaziland,SSA,AFR-E
SXM,Sint Maarten (Dutch part),YHI,
SYC,Seychelles,SSA,AFR-D
SYR,Syrian Arab Republic,MNA,EMR-B
TCA,Turks and Caicos Islands,YHI,
TCD,Chad,SSA,AFR-D
TGO,Togo,SSA,AFR-D
THA,Thailand,EAP,SEAR-B
TJK,Tajikistan,ECA,EUR-B
TKM,Turkmenistan,ECA,EUR-B
TMP,Timor-Leste,EAP,
TON,Tonga,EAP,WPR-B
TTO,Trinidad and Tobago,YHI,
TUN,Tunisia,MNA,EMR-B
TUR,Turkey,ECA,EUR-B
TUV,Tuvalu,EAP,WPR-B
TZA,Tanzania,SSA,AFR-E
UGA,Uganda,SSA,AFR-E
UKR,Ukraine,ECA,EUR-C
URY,Uruguay,YHI,
USA,United States,YHI,
UZB,Uzbekistan,ECA,EUR-B
VCT,St. Vincent and the Grenadines,LAC,AMR-B
VEN,"Venezuela, RB",LAC,AMR-B
VIR,Virgin Islands (U.S.),YHI,
VNM,Vietnam,EAP,WPR-B
VUT,Vanuatu,EAP,WPR-B
WBG,West Bank and Gaza,MNA,
WSM,Samoa,EAP,WPR-B
YEM,"Yemen, Rep.",MNA,EMR-D
ZAF,South Africa,SSA,AFR-E
ZAR,"Congo, Dem. Rep.",SSA,AFR-E
ZMB,Zambia,SSA,AFR-E
ZWE,Zimbabwe,SSA,AFR-E
