iso3,fa,hazard_name
AFG,0.0051053048417166675,earthquake
AGO,4.311073913333334e-05,earthquake
ALB,0.003020493873416667,earthquake
ARG,0.0019446808163833336,earthquake
ARM,0.0081162328881,earthquake
AUT,0.0010794157081,earthquake
AZE,0.006030397482399999,earthquake
BDI,0.0022983633995000007,earthquake
BEL,0.0003362878275833333,earthquake
BEN,1.54517407e-05,earthquake
BGD,0.0007521305426166667,earthquake
BGR,0.0012535495294166668,earthquake
BIH,0.0010505049539333334,earthquake
BOL,0.0030800671284166663,earthquake
BTN,0.0010652761317166666,earthquake
BWA,0.0005404920081999999,earthquake
CAF,0.0001720060792833333,earthquake
CAN,0.00016310812260000003,earthquake
CHE,0.0008689720756666668,earthquake
CHL,0.02447480726591667,earthquake
CHN,0.00040249433670000006,earthquake
CMR,0.00037648858295000003,earthquake
COD,0.0002519812114,earthquake
COG,4.500701781666667e-05,earthquake
COL,0.01426395320941667,earthquake
COM,0.0003859964499,earthquake
CRI,0.0049925147183,earthquake
CZE,0.0003380458403,earthquake
DEU,0.0006329783663833335,earthquake
DJI,0.0019636586119,earthquake
DOM,0.005950674618116667,earthquake
EGY,0.0005083127959833334,earthquake
ESP,0.00011595297661666668,earthquake
EST,9.20956249e-05,earthquake
ETH,0.00014076777456666667,earthquake
FJI,0.0005382789074333334,earthquake
FRA,0.00017981712133333333,earthquake
FSM,0.00010495130211666668,earthquake
GAB,6.909810661666668e-05,earthquake
GBR,0.0004326183131666667,earthquake
GEO,0.014152411688883334,earthquake
GIN,4.823584903333334e-05,earthquake
GMB,3.226484341666667e-05,earthquake
GNB,4.4812702099999996e-05,earthquake
GRC,0.02672069006783333,earthquake
GTM,0.03415628200746667,earthquake
HND,0.02168145205391667,earthquake
HRV,0.0017521440262000005,earthquake
HTI,0.03503625172400001,earthquake
HUN,0.0004793119931333334,earthquake
IDN,0.0019212226796333333,earthquake
IND,0.00014399558728333335,earthquake
IRL,6.07448008e-05,earthquake
IRN,0.006746423899416667,earthquake
IRQ,0.0019764469512833335,earthquake
ISL,0.0020790773176666663,earthquake
ISR,0.0008019219387500001,earthquake
ITA,0.004369824548716666,earthquake
JAM,0.0016903855722500006,earthquake
JOR,0.0006770511250500001,earthquake
JPN,0.003815663976033333,earthquake
KAZ,0.003400300619783333,earthquake
KEN,0.00021130046595000003,earthquake
